STNR;KUERZEL;FAHRER_NR;FAHRER1_NAME;FAHRER1_VORNAME;FAHRER2_NAME;FAHRER2_VORNAME;FAHRER3_NAME;FAHRER3_VORNAME;FAHRER4_NAME;FAHRER4_VORNAME;NATION;BEWERBER;TEAM;FAHRZEUG;RUNDE_NR;DURCHGANGSZEIT;TAGESZEIT;RUNDENZEIT;RUNDENZEIT_IN_SEKUNDEN;DIESCHNELLSTE;KLASSE;KLASSEKURZ;SEKTOR1_ZEIT;SEKTOR1_BESTE_ZEIT;SEKTOR1_KMH;SEKTOR1_BESTE_SPEED;SEKTOR2_ZEIT;SEKTOR2_BESTE_ZEIT;SEKTOR2_KMH;SEKTOR2_BESTE_SPEED;SEKTOR3_ZEIT;SEKTOR3_BESTE_ZEIT;SEKTOR3_KMH;SEKTOR3_BESTE_SPEED;SEKTOR4_ZEIT;SEKTOR4_BESTE_ZEIT;SEKTOR4_KMH;SEKTOR4_BESTE_SPEED;SEKTOR5_ZEIT;SEKTOR5_BESTE_ZEIT;SEKTOR5_KMH;SEKTOR5_BESTE_SPEED;TOPSPEED_KMH;TOPSPEED_BESTE_SPEED;SEKTOR_BESTE_SUMME;RANG;INPIT;CANCELLED;PITSTOPDURATION;BEWERBERLIZENZ;PITIN_TIME;RUNDE_NR_TEXT
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;1;12:08:56.736;12:08:56.736;8:55.148;535,148;N;CUP2                                                        ;CUP2    ;;N;;N;;N;;N;;N;;N;;N;;N;50.366;N;;N;;N;8:25.462;13;N;0;;            ;;1
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;2;12:17:47.421;12:17:47.421;8:50.685;530,685;N;CUP2                                                        ;CUP2    ;1:10.174;N;;N;1:11.975;N;;N;2:22.779;N;;N;3:14.762;N;;N;50.995;N;;N;;N;8:25.462;13;N;0;;            ;;2
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;3;12:26:36.304;12:26:36.304;8:48.883;528,883;N;CUP2                                                        ;CUP2    ;1:09.570;N;;N;1:10.668;N;;N;2:22.558;N;;N;3:15.818;N;;N;50.269;J;;N;;N;8:25.462;13;N;0;;            ;;3
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;4;12:35:16.786;12:35:16.786;8:40.482;520,482;N;CUP2                                                        ;CUP2    ;1:09.358;N;;N;1:09.329;N;;N;2:13.833;N;;N;3:16.034;N;;N;51.928;N;;N;;N;8:25.462;13;N;0;;            ;;4
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;5;12:44:05.617;12:44:05.617;8:48.831;528,831;N;CUP2                                                        ;CUP2    ;1:09.926;N;;N;1:08.632;N;;N;2:19.529;N;;N;3:19.785;N;;N;50.959;N;;N;;N;8:25.462;13;N;0;;            ;;5
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;6;12:53:46.280;12:53:46.280;9:40.663;580,663;N;CUP2                                                        ;CUP2    ;1:10.127;N;;N;1:08.923;N;;N;2:49.200;N;;N;3:41.470;N;;N;50.943;N;;N;;N;8:25.462;13;N;0;;            ;;6
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;7;13:04:07.820;13:04:07.820;10:21.540;621,540;N;CUP2                                                        ;CUP2    ;1:10.216;N;;N;1:10.946;N;;N;2:48.782;N;;N;4:07.270;N;;N;;N;;N;;N;8:25.462;13;J;0;2:07.986;            ;13:03:59.844;7p
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;8;13:15:34.318;13:15:34.318;11:26.498;686,498;N;CUP2                                                        ;CUP2    ;3:09.442;N;;N;1:17.952;N;;N;2:29.116;N;;N;3:28.131;N;;N;1:01.857;N;;N;;N;8:25.462;13;A;0;;            ;;8
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;9;13:24:55.079;13:24:55.079;9:20.761;560,761;N;CUP2                                                        ;CUP2    ;1:10.642;N;;N;1:13.625;N;;N;2:22.608;N;;N;3:39.420;N;;N;54.466;N;;N;;N;8:25.462;13;N;0;;            ;;9
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;10;13:34:04.584;13:34:04.584;9:09.505;549,505;N;CUP2                                                        ;CUP2    ;1:10.021;N;;N;1:10.672;N;;N;2:36.692;N;;N;3:20.248;N;;N;51.872;N;;N;;N;8:25.462;13;N;0;;            ;;10
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;11;13:43:03.271;13:43:03.271;8:58.687;538,687;N;CUP2                                                        ;CUP2    ;1:09.915;N;;N;1:10.879;N;;N;2:18.810;N;;N;3:27.763;N;;N;51.320;N;;N;;N;8:25.462;13;N;0;;            ;;11
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;12;13:51:59.169;13:51:59.169;8:55.898;535,898;N;CUP2                                                        ;CUP2    ;1:10.202;N;;N;1:11.326;N;;N;2:16.290;N;;N;3:27.328;N;;N;50.752;N;;N;;N;8:25.462;13;N;0;;            ;;12
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;13;14:00:38.467;14:00:38.467;8:39.298;519,298;N;CUP2                                                        ;CUP2    ;1:10.648;N;;N;1:09.835;N;;N;2:06.261;N;;N;3:21.667;N;;N;50.887;N;;N;;N;8:25.462;13;N;0;;            ;;13
1;Mies;1;Mies;Alexander;Scheerbarth;Tim;Jans;Steve;;;    ;GIGASPEED Team GetSpeed Performance;;Porsche 911 GT3 Cup;14;14:09:12.707;14:09:12.707;8:34.240;514,240;N;CUP2                                                        ;CUP2    ;1:09.786;N;;N;1:08.873;N;;N;2:05.259;N;;N;3:18.475;N;;N;51.847;N;;N;;N;8:25.462;13;N;0;;            ;;14
